"Requester wait time brackets";"COUNT(Solved tickets)";"D_COUNT(Solved tickets)"
">7 days";"22.46666666666666500000";"674.00000000000000000000"
"3-7 days";"14.76666666666666700000";"443.00000000000000000000"
"1-3 days";"17.40000000000000000000";"522.00000000000000000000"
"1-24 hrs";"30.83333333333333600000";"925.00000000000000000000"
"0-1 hrs";"14.53333333333333500000";"436.00000000000000000000"
