"Ticket channel";"Ticket created - Date";"Tickets"
"Email";"02 Jan 25";"6.00000000000000000000"
"Email";"03 Jan 25";"4.00000000000000000000"
"Email";"06 Jan 25";"11.00000000000000000000"
"Email";"07 Jan 25";"10.00000000000000000000"
"Email";"08 Jan 25";"3.00000000000000000000"
"Email";"09 Jan 25";"3.00000000000000000000"
"Email";"10 Jan 25";"1.00000000000000000000"
"Email";"13 Jan 25";"9.00000000000000000000"
"Email";"14 Jan 25";"7.00000000000000000000"
"Email";"15 Jan 25";"5.00000000000000000000"
"Email";"16 Jan 25";"4.00000000000000000000"
"Email";"17 Jan 25";"6.00000000000000000000"
"Email";"19 Jan 25";""
"Email";"20 Jan 25";"2.00000000000000000000"
"Email";"21 Jan 25";"6.00000000000000000000"
"Email";"22 Jan 25";"2.00000000000000000000"
"Email";"23 Jan 25";"6.00000000000000000000"
"Email";"24 Jan 25";"6.00000000000000000000"
"Email";"25 Jan 25";"1.00000000000000000000"
"Email";"26 Jan 25";"1.00000000000000000000"
"Email";"27 Jan 25";"5.00000000000000000000"
"Email";"28 Jan 25";"2.00000000000000000000"
"Email";"29 Jan 25";"9.00000000000000000000"
"Email";"30 Jan 25";"3.00000000000000000000"
"Email";"31 Jan 25";"4.00000000000000000000"
"Email";"02 Feb 25";"1.00000000000000000000"
"Email";"03 Feb 25";"4.00000000000000000000"
"Email";"04 Feb 25";"8.00000000000000000000"
"Email";"05 Feb 25";"4.00000000000000000000"
"Email";"06 Feb 25";"8.00000000000000000000"
"Email";"07 Feb 25";"4.00000000000000000000"
"Email";"09 Feb 25";"2.00000000000000000000"
"Email";"10 Feb 25";"7.00000000000000000000"
"Email";"11 Feb 25";"4.00000000000000000000"
"Email";"12 Feb 25";"7.00000000000000000000"
"Email";"13 Feb 25";"5.00000000000000000000"
"Email";"14 Feb 25";"6.00000000000000000000"
"Email";"15 Feb 25";""
"Email";"17 Feb 25";"3.00000000000000000000"
"Email";"18 Feb 25";"14.00000000000000000000"
"Email";"19 Feb 25";"10.00000000000000000000"
"Email";"20 Feb 25";"8.00000000000000000000"
"Email";"21 Feb 25";"6.00000000000000000000"
"Email";"23 Feb 25";""
"Email";"24 Feb 25";"5.00000000000000000000"
"Email";"25 Feb 25";"5.00000000000000000000"
"Email";"26 Feb 25";"4.00000000000000000000"
"Email";"27 Feb 25";"7.00000000000000000000"
"Email";"28 Feb 25";"3.00000000000000000000"
"Email";"03 Mar 25";"6.00000000000000000000"
"Email";"04 Mar 25";"4.00000000000000000000"
"Email";"05 Mar 25";"8.00000000000000000000"
"Email";"06 Mar 25";"6.00000000000000000000"
"Email";"07 Mar 25";"6.00000000000000000000"
"Email";"09 Mar 25";""
"Email";"10 Mar 25";"5.00000000000000000000"
"Email";"11 Mar 25";"2.00000000000000000000"
"Email";"12 Mar 25";"7.00000000000000000000"
"Email";"13 Mar 25";"8.00000000000000000000"
"Email";"14 Mar 25";"10.00000000000000000000"
"Email";"17 Mar 25";"8.00000000000000000000"
"Email";"18 Mar 25";"2.00000000000000000000"
"Email";"19 Mar 25";"20.00000000000000000000"
"Email";"20 Mar 25";"5.00000000000000000000"
"Email";"21 Mar 25";"5.00000000000000000000"
"Email";"23 Mar 25";"1.00000000000000000000"
"Email";"24 Mar 25";"7.00000000000000000000"
"Email";"25 Mar 25";"3.00000000000000000000"
"Email";"26 Mar 25";"6.00000000000000000000"
"Email";"27 Mar 25";"3.00000000000000000000"
"Email";"28 Mar 25";"4.00000000000000000000"
"Email";"31 Mar 25";"4.00000000000000000000"
"Email";"01 Apr 25";"4.00000000000000000000"
"Email";"02 Apr 25";"5.00000000000000000000"
"Email";"03 Apr 25";"2.00000000000000000000"
"Email";"04 Apr 25";"3.00000000000000000000"
"Email";"05 Apr 25";""
"Email";"06 Apr 25";"1.00000000000000000000"
"Email";"07 Apr 25";"4.00000000000000000000"
"Email";"08 Apr 25";"5.00000000000000000000"
"Email";"09 Apr 25";"3.00000000000000000000"
"Email";"10 Apr 25";"3.00000000000000000000"
"Email";"11 Apr 25";"28.00000000000000000000"
"Email";"12 Apr 25";""
"Email";"14 Apr 25";"4.00000000000000000000"
"Email";"15 Apr 25";"7.00000000000000000000"
"Email";"16 Apr 25";"4.00000000000000000000"
"Email";"17 Apr 25";"2.00000000000000000000"
"Email";"18 Apr 25";"1.00000000000000000000"
"Email";"21 Apr 25";"2.00000000000000000000"
"Email";"22 Apr 25";"2.00000000000000000000"
"Email";"23 Apr 25";"2.00000000000000000000"
"Email";"24 Apr 25";"6.00000000000000000000"
"Email";"25 Apr 25";"2.00000000000000000000"
"Email";"28 Apr 25";"6.00000000000000000000"
"Email";"29 Apr 25";"3.00000000000000000000"
"Email";"30 Apr 25";"5.00000000000000000000"
"Email";"01 May 25";"5.00000000000000000000"
"Email";"02 May 25";"3.00000000000000000000"
"Email";"03 May 25";""
"Email";"05 May 25";"2.00000000000000000000"
"Email";"06 May 25";"1.00000000000000000000"
"Email";"07 May 25";"7.00000000000000000000"
"Email";"08 May 25";"2.00000000000000000000"
"Email";"09 May 25";"4.00000000000000000000"
"Email";"12 May 25";"4.00000000000000000000"
"Email";"13 May 25";"5.00000000000000000000"
"Email";"14 May 25";"1.00000000000000000000"
"Email";"15 May 25";"5.00000000000000000000"
"Email";"16 May 25";"4.00000000000000000000"
"Email";"18 May 25";""
"Email";"19 May 25";"10.00000000000000000000"
"Email";"20 May 25";"5.00000000000000000000"
"Email";"21 May 25";"5.00000000000000000000"
"Email";"22 May 25";"8.00000000000000000000"
