"Ticket channel";"COUNT(Tickets)";"D_COUNT(Tickets)"
"Email";"49.66931216931217000000";"1502.00000000000000000000"
"Web";"36.93783068783068000000";"1117.00000000000000000000"
"Api";"13.39285714285714200000";"405.00000000000000000000"
