"Ticket created - Day of week";"Tickets created - Daily average"
"Sunday";"1.64000000000000000000"
"Monday";"11.71153846153846200000"
"Tuesday";"12.64705882352941100000"
"Wednesday";"12.35294117647058900000"
"Thursday";"10.63461538461538500000"
"Friday";"9.82692307692307700000"
"Saturday";"1.59090909090909080000"
