"Ticket created - Date";"Tickets";"Solved tickets"
"2 Jan 25";"10.00000000000000000000";"10.00000000000000000000"
"3 Jan 25";"6.00000000000000000000";"6.00000000000000000000"
"6 Jan 25";"18.00000000000000000000";"18.00000000000000000000"
"7 Jan 25";"14.00000000000000000000";"14.00000000000000000000"
"8 Jan 25";"12.00000000000000000000";"12.00000000000000000000"
"9 Jan 25";"7.00000000000000000000";"7.00000000000000000000"
"10 Jan 25";"9.00000000000000000000";"9.00000000000000000000"
"13 Jan 25";"15.00000000000000000000";"15.00000000000000000000"
"14 Jan 25";"13.00000000000000000000";"13.00000000000000000000"
"15 Jan 25";"8.00000000000000000000";"8.00000000000000000000"
"16 Jan 25";"9.00000000000000000000";"9.00000000000000000000"
"17 Jan 25";"8.00000000000000000000";"8.00000000000000000000"
"19 Jan 25";"1.00000000000000000000";"1.00000000000000000000"
"20 Jan 25";"2.00000000000000000000";"2.00000000000000000000"
"21 Jan 25";"10.00000000000000000000";"10.00000000000000000000"
"22 Jan 25";"13.00000000000000000000";"13.00000000000000000000"
"23 Jan 25";"11.00000000000000000000";"11.00000000000000000000"
"24 Jan 25";"9.00000000000000000000";"9.00000000000000000000"
"25 Jan 25";"1.00000000000000000000";"1.00000000000000000000"
"26 Jan 25";"1.00000000000000000000";"1.00000000000000000000"
"27 Jan 25";"7.00000000000000000000";"7.00000000000000000000"
"28 Jan 25";"3.00000000000000000000";"3.00000000000000000000"
"29 Jan 25";"13.00000000000000000000";"13.00000000000000000000"
"30 Jan 25";"9.00000000000000000000";"9.00000000000000000000"
"31 Jan 25";"6.00000000000000000000";"6.00000000000000000000"
"2 Feb 25";"2.00000000000000000000";"2.00000000000000000000"
"3 Feb 25";"8.00000000000000000000";"8.00000000000000000000"
"4 Feb 25";"12.00000000000000000000";"12.00000000000000000000"
"5 Feb 25";"8.00000000000000000000";"8.00000000000000000000"
"6 Feb 25";"12.00000000000000000000";"12.00000000000000000000"
"7 Feb 25";"6.00000000000000000000";"6.00000000000000000000"
"9 Feb 25";"2.00000000000000000000";"2.00000000000000000000"
"10 Feb 25";"13.00000000000000000000";"13.00000000000000000000"
"11 Feb 25";"18.00000000000000000000";"18.00000000000000000000"
"12 Feb 25";"18.00000000000000000000";"18.00000000000000000000"
"13 Feb 25";"16.00000000000000000000";"16.00000000000000000000"
"14 Feb 25";"12.00000000000000000000";"12.00000000000000000000"
"15 Feb 25";"1.00000000000000000000";"1.00000000000000000000"
"17 Feb 25";"3.00000000000000000000";"3.00000000000000000000"
"18 Feb 25";"25.00000000000000000000";"25.00000000000000000000"
"19 Feb 25";"18.00000000000000000000";"18.00000000000000000000"
"20 Feb 25";"12.00000000000000000000";"12.00000000000000000000"
"21 Feb 25";"17.00000000000000000000";"17.00000000000000000000"
"23 Feb 25";"1.00000000000000000000";"1.00000000000000000000"
"24 Feb 25";"10.00000000000000000000";"10.00000000000000000000"
"25 Feb 25";"14.00000000000000000000";"14.00000000000000000000"
"26 Feb 25";"11.00000000000000000000";"11.00000000000000000000"
"27 Feb 25";"12.00000000000000000000";"12.00000000000000000000"
"28 Feb 25";"4.00000000000000000000";"4.00000000000000000000"
"3 Mar 25";"11.00000000000000000000";"11.00000000000000000000"
"4 Mar 25";"10.00000000000000000000";"10.00000000000000000000"
"5 Mar 25";"13.00000000000000000000";"13.00000000000000000000"
"6 Mar 25";"9.00000000000000000000";"9.00000000000000000000"
"7 Mar 25";"7.00000000000000000000";"7.00000000000000000000"
"9 Mar 25";"1.00000000000000000000";"1.00000000000000000000"
"10 Mar 25";"16.00000000000000000000";"16.00000000000000000000"
"11 Mar 25";"14.00000000000000000000";"14.00000000000000000000"
"12 Mar 25";"14.00000000000000000000";"14.00000000000000000000"
"13 Mar 25";"12.00000000000000000000";"12.00000000000000000000"
"14 Mar 25";"13.00000000000000000000";"13.00000000000000000000"
"17 Mar 25";"15.00000000000000000000";"15.00000000000000000000"
"18 Mar 25";"6.00000000000000000000";"6.00000000000000000000"
"19 Mar 25";"25.00000000000000000000";"25.00000000000000000000"
"20 Mar 25";"8.00000000000000000000";"8.00000000000000000000"
"21 Mar 25";"7.00000000000000000000";"7.00000000000000000000"
"23 Mar 25";"4.00000000000000000000";"4.00000000000000000000"
"24 Mar 25";"9.00000000000000000000";"9.00000000000000000000"
"25 Mar 25";"17.00000000000000000000";"17.00000000000000000000"
"26 Mar 25";"11.00000000000000000000";"11.00000000000000000000"
"27 Mar 25";"11.00000000000000000000";"11.00000000000000000000"
"28 Mar 25";"8.00000000000000000000";"8.00000000000000000000"
"31 Mar 25";"7.00000000000000000000";"7.00000000000000000000"
"1 Apr 25";"9.00000000000000000000";"9.00000000000000000000"
"2 Apr 25";"6.00000000000000000000";"6.00000000000000000000"
"3 Apr 25";"4.00000000000000000000";"4.00000000000000000000"
"4 Apr 25";"6.00000000000000000000";"6.00000000000000000000"
"5 Apr 25";"1.00000000000000000000";"1.00000000000000000000"
"6 Apr 25";"2.00000000000000000000";"2.00000000000000000000"
"7 Apr 25";"8.00000000000000000000";"8.00000000000000000000"
"8 Apr 25";"10.00000000000000000000";"10.00000000000000000000"
"9 Apr 25";"10.00000000000000000000";"10.00000000000000000000"
"10 Apr 25";"4.00000000000000000000";"4.00000000000000000000"
"11 Apr 25";"33.00000000000000000000";"33.00000000000000000000"
"12 Apr 25";"2.00000000000000000000";"2.00000000000000000000"
"14 Apr 25";"21.00000000000000000000";"21.00000000000000000000"
"15 Apr 25";"14.00000000000000000000";"14.00000000000000000000"
