"Ticket created - Hour";"Tickets"
"0";"0.42989417989417990000"
"1";"0.36375661375661370000"
"2";"0.82671957671957660000"
"3";"1.38888888888888880000"
"4";"2.67857142857142840000"
"5";"2.97619047619047600000"
"6";"4.89417989417989400000"
"7";"6.64682539682539700000"
"8";"10.31746031746031600000"
"9";"8.89550264550264600000"
"10";"10.31746031746031600000"
"11";"9.72222222222222300000"
"12";"10.18518518518518500000"
"13";"8.16798941798941800000"
"14";"7.10978835978836100000"
"15";"4.99338624338624400000"
"16";"4.00132275132275200000"
"17";"1.91798941798941800000"
"18";"1.35582010582010580000"
"19";"0.95899470899470900000"
"20";"0.69444444444444440000"
"21";"0.46296296296296290000"
"22";"0.46296296296296290000"
"23";"0.23148148148148145000"
