"First reply time brackets";"COUNT(Tickets)";"D_COUNT(Tickets)"
">24 hrs";"26.03237528906508000000";"788.00000000000000000000"
"8-24 hrs";"17.07961678229270000000";"517.00000000000000000000"
"1-8 hrs";"15.75817641228939600000";"477.00000000000000000000"
"0-1 hrs";"8.49025437727122600000";"257.00000000000000000000"
" No replies";"32.63957713908160000000";"988.00000000000000000000"
