"Agent replies brackets";"COUNT(Solved tickets)";"D_COUNT(Solved tickets)"
"0";"31.87105350614822200000";"959.00000000000000000000"
"1";"32.13692256563642500000";"967.00000000000000000000"
"2";"17.64705882352941300000";"531.00000000000000000000"
"3-5";"14.15752741774676000000";"426.00000000000000000000"
">5";"4.18743768693918300000";"126.00000000000000000000"
