"Full resolution time brackets";"COUNT(Solved tickets)";"D_COUNT(Solved tickets)"
">30 days";"6.81289464938517800000";"205.00000000000000000000"
"7-30 days";"22.99767364572947800000";"692.00000000000000000000"
"1-7 days";"32.53572615486872600000";"979.00000000000000000000"
"5-24 hrs";"17.77999335327351000000";"535.00000000000000000000"
"0-5 hrs";"19.87371219674310300000";"598.00000000000000000000"
