"Ticket created - Date";"MED(First reply time (min))";"MED(First assignment time (min))";"AVG(First reply time (min))";"AVG(First assignment time (min))"
"02 Jan 25";"434.00000000000000000000";"0.01666666666666666600";"3029.87500000000000000000";"68.99500000000000000000"
"03 Jan 25";"5835.00000000000000000000";"13.19166666666666600000";"5154.33333333333300000000";"24.78333333333333500000"
"06 Jan 25";"1215.50000000000000000000";"0.01666666666666666600";"1083.06250000000000000000";"62.25555555555555000000"
"07 Jan 25";"198.00000000000000000000";"0.01666666666666666600";"771.00000000000000000000";"0.01309523809523809600"
"08 Jan 25";"456.00000000000000000000";"0.00000000000000000000";"565.85714285714290000000";"0.00694444444444444400"
"09 Jan 25";"1122.00000000000000000000";"0.01666666666666666600";"1801.16666666666670000000";"225.08333333333334000000"
"10 Jan 25";"2052.00000000000000000000";"0.00000000000000000000";"2456.25000000000000000000";"34.28703703703704000000"
"13 Jan 25";"3091.50000000000000000000";"0.01666666666666666600";"6348.33333333333300000000";"11.20555555555555600000"
"14 Jan 25";"1162.50000000000000000000";"0.01666666666666666600";"2114.70000000000000000000";"4.32435897435897400000"
"15 Jan 25";"929.00000000000000000000";"0.01666666666666666600";"2260.62500000000000000000";"0.72500000000000000000"
"16 Jan 25";"3966.50000000000000000000";"0.01666666666666666600";"4558.83333333333300000000";"0.15185185185185185000"
"17 Jan 25";"6655.00000000000000000000";"3784.90833333333330000000";"7033.83333333333300000000";"2798.73750000000000000000"
"19 Jan 25";"1214.00000000000000000000";"0.00000000000000000000";"1214.00000000000000000000";"0.00000000000000000000"
"20 Jan 25";"1505.00000000000000000000";"522.95000000000000000000";"1505.00000000000000000000";"522.95000000000000000000"
"21 Jan 25";"836.00000000000000000000";"0.01666666666666666600";"2360.00000000000000000000";"25.77500000000000000000"
"22 Jan 25";"302.50000000000000000000";"0.00000000000000000000";"654.20000000000000000000";"0.01153846153846153900"
"23 Jan 25";"100.00000000000000000000";"0.01666666666666666600";"461.44444444444446000000";"0.01515151515151515200"
"24 Jan 25";"9136.50000000000000000000";"0.01666666666666666600";"8951.00000000000000000000";"2.57962962962962950000"
"25 Jan 25";"2207.00000000000000000000";"2207.41666666666650000000";"2207.00000000000000000000";"2207.41666666666650000000"
"26 Jan 25";"3415.00000000000000000000";"401.80000000000000000000";"3415.00000000000000000000";"401.80000000000000000000"
"27 Jan 25";"5355.00000000000000000000";"0.01666666666666666600";"6095.60000000000000000000";"147.47142857142856000000"
"28 Jan 25";"7359.50000000000000000000";"0.01666666666666666600";"7359.50000000000000000000";"307.36111111111110000000"
"29 Jan 25";"2552.00000000000000000000";"14.15000000000000000000";"5779.18181818181800000000";"160.52179487179487000000"
"30 Jan 25";"5873.00000000000000000000";"133.40000000000000000000";"16751.00000000000000000000";"190.76481481481483000000"
"31 Jan 25";"4047.00000000000000000000";"11.25833333333333300000";"3059.60000000000000000000";"1879.08611111111120000000"
"02 Feb 25";"4049.00000000000000000000";"842.46666666666670000000";"4049.00000000000000000000";"842.46666666666670000000"
"03 Feb 25";"1743.00000000000000000000";"0.01666666666666666600";"1644.85714285714300000000";"32.86458333333333600000"
"04 Feb 25";"1423.00000000000000000000";"0.01666666666666666600";"3073.44444444444430000000";"14.58888888888888900000"
"05 Feb 25";"446.00000000000000000000";"0.01666666666666666600";"1446.75000000000000000000";"0.01250000000000000000"
"06 Feb 25";"1427.00000000000000000000";"0.01666666666666666600";"1557.55555555555570000000";"0.01388888888888888800"
"07 Feb 25";"83.00000000000000000000";"0.01666666666666666600";"2035.60000000000000000000";"0.02222222222222222300"
"09 Feb 25";"14821.00000000000000000000";"1467.65000000000000000000";"14821.00000000000000000000";"1467.65000000000000000000"
"10 Feb 25";"770.00000000000000000000";"0.01666666666666666600";"1744.63636363636370000000";"1924.57051282051300000000"
"11 Feb 25";"218.00000000000000000000";"0.00833333333333333300";"702.00000000000000000000";"0.01018518518518518600"
"12 Feb 25";"1552.00000000000000000000";"0.01666666666666666600";"3568.25000000000000000000";"266.70370370370370000000"
"13 Feb 25";"1616.50000000000000000000";"0.01666666666666666600";"5043.20000000000000000000";"622.63437500000000000000"
"14 Feb 25";"5839.50000000000000000000";"0.01666666666666666600";"7345.12500000000000000000";"0.01527777777777777700"
"15 Feb 25";"1802.00000000000000000000";"0.00000000000000000000";"1802.00000000000000000000";"0.00000000000000000000"
"17 Feb 25";"1781.00000000000000000000";"0.01666666666666666600";"1781.00000000000000000000";"687.68333333333330000000"
"18 Feb 25";"1193.00000000000000000000";"0.01666666666666666600";"3218.44444444444430000000";"49.24333333333333000000"
"19 Feb 25";"1170.00000000000000000000";"0.01666666666666666600";"1916.26666666666670000000";"6.11851851851851900000"
"20 Feb 25";"1256.00000000000000000000";"0.01666666666666666600";"5331.00000000000000000000";"1.47916666666666670000"
"21 Feb 25";"4441.50000000000000000000";"0.00000000000000000000";"5448.50000000000000000000";"0.00784313725490196000"
"23 Feb 25";"1092.00000000000000000000";"0.00000000000000000000";"1092.00000000000000000000";"0.00000000000000000000"
"24 Feb 25";"261.50000000000000000000";"0.01666666666666666600";"486.25000000000000000000";"64.17166666666667000000"
"25 Feb 25";"1065.00000000000000000000";"0.00000000000000000000";"2536.46153846153860000000";"0.00595238095238095200"
"26 Feb 25";"1845.50000000000000000000";"0.00000000000000000000";"2960.50000000000000000000";"5.02424242424242400000"
"27 Feb 25";"1402.00000000000000000000";"0.01666666666666666600";"3155.00000000000000000000";"14.79166666666666600000"
"28 Feb 25";"3864.50000000000000000000";"0.01666666666666666600";"3502.50000000000000000000";"0.01250000000000000000"
